name,address,denomination,attendance,worship_style,worship_description,Approximately how close are you to Calvin College?,sunday_service_time,student_needs,student_opportunities,mission_statement,transportation
East Congregational,"1005 Giddings SE
Grand Rapids, MI 49506 
",United Church of Christ-Congregational,<150,Thematic,"lectionary-based, progressive, covenantal",2-5 miles,Sundays at 10:30am,"Special musicians, youth mentors, choir members, rotating homeless shelter volunteer, ",,"OUR MISSION STATEMENT
We minister as a body of believers,
by proclaiming the teachings of Christ and
by humbly serving:
Our members with
compassionate support through worship, 
education, music, visitation and fellowship:
Our community by 
addressing neighborhood and area needs:
Our world by
promoting education on global issues and participating in the solutions.",None.
Eastminster Presbyterian,"1700 Woodward Ave SE Grand Rapids, MI 49506 
",PC(USA),<150,Thematic,"variety, responsive, prayerful",< 2 miles,"Worship is held Sunday morning at 10 am followed by a time of fellowship with coffee and snacks and, often, and adult education/faith formation opportunity. We are located just 1.5 miles west of Calvin, 2 blocks north off of Burton on Woodward (just past the Valvoline). We welcome all to worship. ","Join with us in worship of our good and gracious God; sing in choir, volunteeer in nursery or in children's worship; offer musical gifts/talents in worship, participate in community service/outreach (Interfaith hospitality network/Family Promise, tutoring at Mulick Park Elementary School, involvement with Eastgate Neighborhood Association).","We do have a young adult group that meets together on an occasional basis. We are primarily an intergenerational congregation and find we work and serve well together, learning along the way from the gifts of all. ","We are a Spirit-filled, Spirit-led, gradually growing congregation. We don't claim to have all the answers to the big questions of life or faith, but we are committed to traveling together on our spiritual journey and growing ever more deeply in our love for God and our desire to serve God and God's people in the world. ","On an indivudual basis by contacting the church office (247-8833) by Fri. at 2 pm or Calvin College student, Casey Carbone at caseyccarbone@gmail.com or Rev. Ann Conklin at revann@eastminstergr.org"
Woodlawn ,"Calvin College Chapel
",Christian Reformed Church,150-500,Liturgical,"Intergenerational, Biblical, Ordered",< 2 miles,"Sunday Mornings at 9:30 am in the Calvin Chapel
Sunday Afternoons at 5:00 pm in the Calvin Chapel","ESL -- English as a Second Language Mon and Wed 4-5 pm
FRIENDSHIP MINISTRY to Cognitive Disabled Adults Thursdays 6:30 - 8 pm.
WOODLAWN ORCHESTRA 
WOODLAWN CHOIR
COLLEGE BIBLE STUDY Sunday after the AM service
CHURCH SCHOOL TEACHING
YOUTH GROUP
GREETING
NURSERY
and more","COLLEGE BIBLE STUDY
ESL
FRIENSHIP 
and more
We also are partnering with 2 emerging churches:  Living Water CRC and the Sudanese Community Church","Woodlawn exists as a worshipping presence on the Calvin College campus and in the community around the campus.
Worship is the vibrant center of our church.
Fellowship and Care for one another is our beating heart.
Reaching out to those in need are our hands of service.
And partnering with churches throughout the globe keeps our feet moving to the ends of the earth with the good news.","No, we meet on campus, in the College Chapel."
Redeemer Presbyterian,6086 E. Fulton St.,Orthodox Presbyterian Church,150-500,Thematic,blended,2-5 miles,"9:30 AM Morning Worship
11:00 AM Sunday School
5:00 PM Evening Worship",,Occasional (monthly) Sunday College Student Luncheons that meet at various members homes,"Excerpts from our website: redeemer-opc.org
A local congregation of people from a variety of backgrounds, bound together by a common bond: we have been saved by the grace of God through faith in Jesus Christ.
An evangelical church that honors the Bible as the inspired and inerrant Word of God and our absolute authority. ",In the past we have arranged for members of the congregation to provide transportation if needed for Calvin students.
Grace Church,"100 Buckley Street SE Grand Rapids, MI 49503  ",Christian Reformed Church,150-500,Liturgical,"traditional, contemporary, spirituals",2-5 miles,"Sundays 11am-12:30pm
Communion is the first Sunday of the month. Second Sunday of the month is Organ and Brass; other Sundays we have the praise team. ","Church Nursery, Cadets and GEMS, Praise Team, Tech Support, Mentoring and tutoring neighborhood kids, Prison Ministry, ",No,"Grace Christian Reformed Church is a healthy, urban, intentionally multi-ethnic and diverse (in many ways) expression of God's new family in Christ Jesus: a church that embraces, in the words of Revelation, the healing of the nations.
We are not afraid of this diversity. We value it. Our worship experience at Grace reflects the range of our cultural differences. It is blended and inclusive so that we celebrate together how God by his grace has drawn us together into community.
","Students may call or email Melanie at the church office by Thursday morning to request a ride that Sunday from a church member: (616) 452-8920, office@gracegr.org"
Millbrook ,"3661 Poinsettia SE 
Grand Rapids, MI 49508 
",Christian Reformed Church,<150,Liturgical,blended,2-5 miles,9:30am & 5:00pm on Sundays,"Nursery, Praise Team, Sunday School, Mobile Food Pantry, Kid's Life Bible Club (after school program), Book Club, Choir","Bible Study and get-togethers, meals and transportation for worship, all-church fellowship opportunities","To Know Christ and to Make Him Known
Growing Spiritually
Connecting Relationally 
Serving Strategically",yes.  It meets at 9:00am on Calvin's campus
Eastern Avenue CRC,"514 Eastern Avenue SE
Grand Rapids, MI 49503 
",CRC,150-500,Thematic,"Blended, liturgical",2-5 miles,"Sunday 9:30 - in English
Sunday 11:00 - builingual - Spanish and English","Tutors, youth leaders, praise team",Not specifically,"As witnesses to the redeeming gospel of Jesus Christ, Eastern Avenue is an inclusive and growing community of life-long disciples that engages the gifts of all her members in vibrant and transformative ministry as she honors her call to be Christ's body in the neighborhood, the community, and the world.",We have a van which could be used to pick up Calvin students but doesn't presently.  We have done that at various times in our recent and not so recent history.
Covenant Church,"7171 Willard SE
Grand Rapids, MI 49548 
",Christian Reformed,500-1000,Thematic,"blended, inter-generational, ",> 10 miles,Sundays at 9:30am and 5pm,"Nursery, Little Lambs (2&3 year-olds), Praise Teams (vocal and/or instrumental), Community Service (Food Pantry, Furniture Ministry), Technical (sound booth, video recording, projection)",No.,"We desire to be a diverse, inter-generational family of believers who seek to love God with all our hearts.  We strive to submit to the Lordship of Jesus and seek truth in the Bible.  We are a praying community of broken people who seek to love others and help them meet Jesus and find forgiveness and healing in Him. Transformed by God's love, led and empowered by the Holy Spirit, we actively follow Jesus in loving and serving people and advancing God's kingdom here and around the world.",No.
Ada Christian Reformed,"7152 Bradfield SE
Ada, MI 49301 
",Christian Reformed,150-500,Thematic,"blended, ordered, relational",5-10 miles,Sunday 9:30 a.m. & 6 p.m.,"Praise Team (instrumental and vocal), 
Friendship Ministry (friends with physical or cognitive disabilities; meets on Tuesday evenings from 7:00-8:15)",None,"Worshiping our Triune God is the core reason we, the congregation, come together at Ada CRC. Through daily prayer and worship, we seek the Holy Spirit's leading in all we do and strive to live our lives following Christ's example. We are devoted to fellowship with each other and our interaction is purposeful and demonstrates Christ's love and grace for all.",Yes. Our van picks up in front of Noordewier VanderWerp at 9:10 a.m.
Trinity Reformed,"1224 Davis NW 
Grand Rapids MI 49504
",RCA (Reformed Church in America),<150,Thematic,"liturgically rich, inviting, neighborhood-focused",5-10 miles,Sunday 10am,"Piano, Music Teams, Community Service (at Community Kitchen, Schools of Hope and Food Pantry), Hospitality, Children's Worship, Join ministry teams (Global Mission, Neighborhood Mission, Worship and the Arts . . .), Youth Group","We have no ministries specifically for college students at the moment, but that does not mean this isn't a great place for college students to plug in. Our ministries are more inter-generational (which might be a refreshing change of pace to campus life?), and we would be thrilled to welcome you into the life of this congregation.","God is reconciling the world in Jesus Christ (2 Cor. 5), and our mission is to be a people whom God gathers, forgives, transforms, and sends to bring Christ's reconciling love to this neighborhood and the world. Because of this mission we: model reconciled relationships within our body; disciple followers of Christ and preparing them for a life within the fuller realities of the world; and closely connect what we do through our neighborhood ministries and who we are as a worshiping congregation.",No
Forest Hills Presbyterian,"7495 Cascade Rd SE
Grand Rapids, MI 49546 
",Presbyterian (PCUSA),150-500,Thematic,"Intergenerational, Blended, Open",5-10 miles,"Sundays 
Worship 9:30-10:30 AM
Education Hour 10:45 - 11:35","Youth Group, Church Nursery, Praise Team, Choir",No,"Our Mission
To nurture informed and joyful faith in Jesus Christ, and to transform our community and culture by engaging in caring, courageous and faithful acts of service.
",No
Immanuel Reformed,"1300 East Beltline SE
Grand Rapids, MI 49506 
",RCA,150-500,Thematic,"Biblical, diverse music",< 2 miles,Sundays at 9:30am,"Musicians are always welcome.
Youth group leaders (especially female).",,Equipping this generation for service to God and ministry in the world.,Yes. At the dorms at 9:15am.
Grace Episcopal,"1815 Hall Street SE
Grand Rapids, MI 49506 
",Episcopal,<150,Liturgical,"historically rich, sacramental and scripture-centered",2-5 miles,"Sundays
8:00 Holy Eucharist (no music)
10:00 Holy Eucharist
11:30 Discipleship Formation
6:30 Youth Group 
Specials services held on Feast Days and during other liturgical seasons","Childcare, youth ministry, choir, working with our Interfaith Hospitality Program (housing and interacting with people temporarily without homes), Vacation Bible School, leading Discipleship Formation",We offer a meal on most Sundays following our Discipleship Formation Program which ends at 12:30.  Each week a family from our church hosts our young adults in their home for lunch.,"Our mission statement at Grace Episcopal Church is as follows:
To be a church community where every member lives as a disciple of Christ.
We seek to:  Learn the Faith
                    Love the Faith 
                    Live the Faith","We do not have a church vehicle, but there are people in our church who would be willing to pick Calvin students up and bring them to church."
Central Reformed,"10 College NE
Grand Rapids, MI 49503 
",Reformed Church in America,150-500,Liturgical,"classical, liturgical, relevant",2-5 miles,"
Sunday morning, 9:30 AM","College students sing in our choir, and newcomers are always welcome. ","
""Take a student home for Sunday lunch!""","
Classical Worship, Liberating Theology. ",No
Creston Church,"238 Spencer NE
Grand Rapids, MI 49505 
",Christian Reformed Church,<150,Liturgical,"neighborhood-oriented, authentic, intergenerational",5-10 miles,"10am Sunday Worhship
6pm Sunday Evening Gathering for Prayer, Teaching, Testimonies, Visitation (rotating basis)
9am Saturday Prayer Meeting","Nursery, Children's Worship, Youth Group, Praise Team, Community Dinners, Community Gardens, Soundboard Operations, Powerpoint Projector Operations, New City Urban Farm ",The Nizhoni House is a Project Neighborhood House associated with our congregation. The Travis St. House is nearby and often connects as well.,"Creston Church is becoming a vibrant, multicultural, multiracial, multigenerational community church that reaches out to our community by ministering to its needs and by seeking to win our neighbors for Christ.
Creston Church is growing
            In Christ-centered living
            In commitment to God and others
            In using our God-given gifts
            In dedication to making disciples",Contact the church office (crestoncrc@gmail.com) during the week and we will put you in touch with someone who can give you a ride.
Sunshine Community,"3300 East Beltline NE
Grand Rapids, MI 49525 
",CRC,500-1000,Thematic,"contemporary, blended, energetic",2-5 miles,Sunday Mornings at 10:00 am,"Nursery, Children's, Student, and Young Adult Ministries. Worship Team, Greeters, Prayer Team ",Yes. It is called The Post and is a weekly gathering after the morning church service (11:45 am) that includes a free lunch and a solid teaching and discussion time.,"We strive to Pursue God, Grow Together, and Serve Others. While the world around us pursues materialism, autonomy, and self-reliance, we know that only God can and will give us what we have been always missing. In our journey through life, we look to God and His Word for our answers, hopes, and Truth.",15 passenger vans are available.
Thornapple Covenant,"2829 Thornapple River Dr. SE Grand Rapids, MI 49546 
",Evangelical Covenant Church,500-1000,Thematic,contemporary and blended,2-5 miles,"Sundays at:
9:00am for contemporary worship
10:30am for blended worship","Calvin students currently help in the nursery, children and student classes and worship band.","We provide free brunches periodically throughout the school year (about 4 times a year) for college students. In addition, students are welcome to get involved in any ministries that they are interested in.","We believe that God desires to use Thornapple Covenant Church in his gracious work of reconciling and redeeming people in Christ. In response to this good work, and empowered by the Holy Spirit, we pursue our central mission, which is to call people to discipleship to Christ and to develop disciples who are rooted in and moved by the love of God, are being transformed by the grace of Christ, and serve sacrificially. Read more about the church at: www.thornapple.org","Yes, we provide transportation. A bus picks up students at the main campus (end of Knights Dr.) at about 8:35 and a large van picks up students at the Burton apartments at about 8:35-40."
Seymour ,"840 Alger SE Grand Rapids, MI 49507 
",Christian Reformed,150-500,Thematic,"blended, warm, praise and worship, hymns, historically rich",2-5 miles,"9:30 am Sundays 
Small, intimate worship at 5 pm Sunday evening","Church nursery-Sunday mornings or every other Wednesday evening Middle schoolers -meets Sunday mornings at 11 am, 
Praise team-vocals/instrumental -practice Wednesday evenings
Ushers for morning service
Serve coffee/cappuccino after the morning service for 20 minutes
Mobile Food Pantry 4-5 times a year ","At this point we don't have much specifically for college students, but would like to host Sunday meals, or a book club/Bible study if students want a place to meet or if they are hungry for home-cooked food! 
We have inter generational adult education on Sunday mornings after the service, but would love to host anything that students are interested in starting.
Just make us your church home while you are away from your own! ",Seymour Church gives glory to God by following the Father's call to become mature through Christ in the power of the Holy Spirit.,"No, sorry. We could probably arrange rides from congregants."
Alger Park ,"2655 Eastern Ave SE Grand Rapids, MI 49507 
 
",CRC,150-500,Thematic,"liturgical, hospitable, thoughtful",2-5 miles,"Sunday, 9:30 AM, 5:00 PM","Nursery, Little Lambs and Children in Worship helpers, Youth Group, Plaster Creek Stewards, GEMS & Cadets",No.,"Alger Park Church strives to be a worshiping, caring, and disciple-making community of faith in Jesus Christ by being faithful to the Great Commandment  and the Great Commission. In addition to our weekly worship gatherings, we come together around acts of service, generosity, environmental stewardship, community building, mentoring, and education. We aspire to follow Christ by working for and watching the Gospel bring renewal in each of us, our neighborhood and the city of Grand Rapids. 
",Unfortunately not.
Monroe Community,"800 Monrose Suite 140 NW
Grand Rapids, MI 495403
",Christian Reformed,<150,Thematic,"Participatory, artistic, biblical",5-10 miles,"Sundays, 10:30am",Children's Ministry teachers; Worship Team (vocal and instrumental); AV Team; Hospitality (Coffee Team and Welcome Team); Prayer Team; Small Groups (leaders and participants); Service Projects in our downtown community,"As a church in a neighborhood of professionals, we welcome college students as pre-professionals to get involved in the life of the whole church, without segregating them to their own groups.",Monroe Community Church seeks to connect our downtown community with our life-changing God.,We have a number of attenders who live near Calvin and are willing to drive students to worship on Sunday mornings.  Please contact the church for more information.
Crossroads Bible,"3101 Leonard NE
Grand Rapids, MI 49525
",,500-1000,Thematic,"gospel, simple, real ",2-5 miles,"Sunday, 9:00 AM & 11:15 AM
","Crossroads Kids, Student Ministries, Realtime Crossroads",College Ministry,"Crossroads Bible Church is a biblical community where Jesus Christ transforms lives, renews the city and impacts the world.",No
First United Methodist,"227 East Fulton Street 
Grand Rapids, MI 49503 
",United Methodist,150-500,Liturgical,"Prayerful, Multi-Generational, Welcoming",2-5 miles,"Sunday Worship Services
9:15am & 11:00am
227 E. Fulton St., Grand Rapids, MI 49503
Young Adult Conversation & Communion Services
Second Wednesday of the Month, 6pm
207 E. Fulton St, Grand Rapids, MI 49503","Volunteer opportunities include volunteering with our nursery, children, Heartside (homeless) work program, mission trips, receptionists, and more","College & Young Adult Group (ages 18-30)
Wednesdays, 6pm
We are a spiritual community, making a difference in the community.  Rides available.","First United Methodist church strives to be a vibrant, inclusive and diverse Christian community.  Our purpose is to invite everyone to experience Christ's love and respond with faithful action. ","Yes, available upon request. "
Ada Bible,"8899 Cascade Rd SE
Ada, MI 49301 
",Non-Denominational,> 1000,Thematic,"connecting you with other people, listening to heart-felt teaching and worshiping God through music",5-10 miles,"CASCADE Saturday 5:30pm, Sunday 9:15am & 11am
8899 Cascade Road SE
Ada, MI 49301
KENTWOOD Saturday 6:00pm, Sunday 9:15am & 11am
2045 68th Street SE
Caledonia, MI 49316
KNAPP STREET Saturday 6:00pm, Sunday 9:15am & 11am
3869 Knapp Street NE
Grand Rapids, MI 49425
616.868.7005","Discovery Village (Nursery-Elementary school)
Lifeline (Middle School-High school)
Tech
Music","Yes, 
UNION is the platform for you to connect with other men and women ages 18-29 to help each other live out the fullest expressions of faith, discover community, pursue Christ, and love the world well.
It doesn't matter if you're in college, out of college, in your career, single, married, dating, or engaged: if you're 18-29, UNION is for you.
We meet every Tuesdays at 7 p.m. at the Knapp Street Campus. This is a community-driven event that we describe as part Bible study, part hangout. We teach through a passage or topic and discuss it as a community. This usually lasts about an hour and a half.
http://www.adabible.org/connect/adults/union/",The mission of Ada Bible Church is to lead people into a relationship with God and His church that transforms them to Christ-likeness.,"Not at this time, but we do have a network of people and students who attend the weekend services and UNION who might be available to carpool. "
Kelloggsville Church,"610 52nd St. SE
Kentwood, MI 49548
",CRC,150-500,Thematic,"historically rich, multi-ethnic, blended",5-10 miles,"9:30 am - Worship service
5:30 pm - Bilingual (English/Spanish) discipleship and teaching hour followed by dinner","Bilingual (English/Spanish) speakers to help in nursery, younger grade Bible classes. Musicians/singers to participate in Praise Band mornings and evenings.","College & Career - Saturday evenings 1x/month at a church member's home. Dinner, devotions, and conversation. Relaxed atmosphere, friends always welcome.","Kelloggsville Church is a community of Christians engaged in making connections. Through God's Spirit, we encounter people on their way toward Jesus and make connections with:
 Hearts to God
 People to community
 Gifts to ministry
 Faith to life
All with the focus on God.",No - but rides are available upon request
New Life Tabernacle ,"815 Grandville SW
Grand Rapids, MI 49503 
",Church of God in Christ,<150,Thematic," exciting,informational, inspirational ",5-10 miles,"Sunday :
morning prayer @ 9:00
morning worship@ 10:30
Wed:
Bible study@ 12 noon and 7:30 pm","youth group, praise team, choir, outreach ministry",,"we are a young church that is comitted to the gospel of Christ. Endevouring to minister to the total man; physically,spiritually and economically. Empowering and equiping the believer to do true ministry.",not at this present time.
Hillside Community ,"1440 68th Street SE
Grand Rapids, MI 49508 
",Christian Reformed,500-1000,Thematic,"joyful, participatory, real",5-10 miles,Sunday:  9:30 am and 11:00 am,"nursery, child care, teaching, community service, kitchen help","Young Adult ministry, Alpha, ",,Sorry - but no.
East Leonard ,"1027 Leonard Street NE
Grand Rapids, MI 49503 
",CRC,150-500,Thematic,"Blended, word-focused, Christ-centered",5-10 miles,"Sunday mornings at 9:30AM
Sunday evenings at 5:30PM","Food Pantry, Nursery, Prison Ministry, Youth Group, Worship, Music, Small Groups, GEMS, Cadets.",Eager to dream and implement one!,"We are followers of Jesus Christ using our gifts to honor him, grow healthy families, and bless our neighbors.",Transportation arranged as needed.
Immaculate Heart of Mary,"1935 Plymouth Ave SE
Grand Rapids, MI 49506 
",Catholic,> 1000,Liturgical,"vibrant, reverent, Holy Spirit filled",< 2 miles,"Daily Mass
  Tuesday 6:30pm
  Wednesday 8:30am
  Thursday and Friday 7:45am
Weekend Mass
  Saturday 5:15pm 
  Sunday 8:30am and 11am","Core Team for High School Youth Group
Liturgical volunteers, Lector, Usher, Eucharistic Minister","Not at this time, but would like to if there is enough interest.
"," We strive to be a welcoming, vibrant Christ-centered community of believers that acknowledges and embraces the diversity of our parish family. Our parish life is centered in the celebration of the Word and of the Sacraments, especially the Holy Eucharist. Inspired by the Holy Spirit, we are committed to be stewards of our time, talent and treasure for the sake of building up the Reign of God.",Can arrange if rides are needed.
New Life Christian Fellowship,"2777 Knapp NE
Grand Rapids, MI 49525
",Non-Denominational,150-500,Experiential,AWESOME!,2-5 miles,"Sundays 10am
Monday Night Firelight 7pm","Worship team opportunities, and opportunities to interact with youth group.","Informal meetings after Firelight. Worship team opportunities, and opportunities to interact with youth group.",Bringing people into a growing relationship with the living Christ.,"Sorry, no."
Brookside CRC,"3600 Kalamazoo Ave SE
Grand Rapids, MI 49508 
",Christian Reformed,500-1000,Thematic,"blended, diverse, ordered",5-10 miles,"Sunday, 9:00am, 10:30am, 6:00pm","Church Nursery, Little Lambs, preparing coffee, serving lemonade, greeting, praise team",no,"Brookside Christian Reformed Church is a community of believers, each one using his or her gifts to Love, Learn, Seek, and Serve.  Brookside walks with Jesus, building redemptive relationships in an every-growing community.",no
Westminster Presbyterian,"47 Jefferson SE
Grand Rapids, MI 49503 
",PCUSA,500-1000,Liturgical,"Welcoming, Affirming, Historical",5-10 miles,"September-May
Sunday mornings, 8:30am and 11:00am.
June-August
Sunday mornings, 10:00am
Occasional Lenten or Advent worship services are also offered.","Church Childcare, Youth Group, Westminster Winds (symphony), Westminster Sanctuary Choir, Drama Programs for youth, Community Service, etc.","Emerging Westminster is our young adult ministry of Westminster Presbyterian Church. We consist of young people (ages 18-40) who feel passionate, determined, overwhelmed, and responsible for the world in which we live in and equally so for the church in which we worship, serve and learn. 
We host social events, volunteer in the community, catch up over breaking of bread, bike ride together, and support intergenerational opportunities for Christian education and fellowship.","Westminster is a metropolitan church in every sense of the word. From our location in the heart of Grand Rapids, we attract a diverse congregation from all parts of the city. Westminster Presbyterian Church is a community of Christians committed to the common purpose of praising God, learning from God's Word, and offering a service and witness to our community and the world--as a people called to seek justice, love mercy, and walk humbly with God. ",Not available at this time.
Fifth Reformed,"2012 Griggs SE Grand Rapids, MI 49506 
",Reformed Church in America,150-500,Thematic,"Intergenerational, Gospel-centered, Blended",< 2 miles,"Sunday at 10AM
Sunday School","Nursery - Infant & Toddler
Children's Ministry Host / ""Shepherd""
Junior High Youth Group
Senior High Youth Group
Praise Team - Vocalist & Band Member
Community Service in one of four areas:
1) Family Promise - addressing homelessness in Grand Rapids
2) Habitat for Humanity
3) Mentoring Elementary Students at Mulick Park
4) Partnering with InterVarsity to reach other campuses in Grand Rapids
","Yes, we have a weekly Sunday school gathering of college students and other young adults.  A number of Calvin students already participate in this.  The group is currently meeting in an inter-generational class based on the StickyFaith research.  College students to 90-year olds are seeking to build meaningful connections with junior and senior high students so that those younger students might retain their faith when they go to college.  Also, we host a monthly luncheon for college students after Sunday school.  This lunch if free for students.  In addition, we have a growing partnership with InterVarsity Christian Fellowship as a way to engage our congregation (college students included!) in reaching out to the 76,000 college students in the greater Grand Rapids area.",Growing disciples who make disciples,"Yes, we have a bus that runs every Sunday.  It does not currently make a stop at Calvin, but we would be happy to swing by to pick up any students interested in exploring Fifth Church."
